hour_utc,campaign_id,bid_count,avg_bid_price_usd
2026-03-26 07:00:00,VveaqT1OAcxlbXSv,2,5.0E-5
2026-03-26 08:00:00,VveaqT1OAcxlbXSv,1,4.2E-5
2026-03-26 09:00:00,VveaqT1OAcxlbXSv,3,2.31E-4
2026-03-26 10:00:00,BhTo5PHbtcsuQwkh,3,1.2E-5
2026-03-26 10:00:00,VveaqT1OAcxlbXSv,18,0.001453
2026-03-26 11:00:00,BhTo5PHbtcsuQwkh,25,7.06E-4
2026-03-26 11:00:00,VveaqT1OAcxlbXSv,504,0.003874
2026-03-26 12:00:00,BhTo5PHbtcsuQwkh,198,0.002331
2026-03-26 12:00:00,VveaqT1OAcxlbXSv,1263,0.003106
2026-03-26 13:00:00,BhTo5PHbtcsuQwkh,357,0.002785
2026-03-26 13:00:00,VveaqT1OAcxlbXSv,1374,0.002334
2026-03-26 14:00:00,BhTo5PHbtcsuQwkh,349,0.003225
2026-03-26 14:00:00,VveaqT1OAcxlbXSv,1599,0.003161
2026-03-26 15:00:00,BhTo5PHbtcsuQwkh,253,0.003535
2026-03-26 15:00:00,VveaqT1OAcxlbXSv,1869,0.002277
2026-03-26 16:00:00,BhTo5PHbtcsuQwkh,132,0.008374
2026-03-26 16:00:00,VveaqT1OAcxlbXSv,1837,0.00185
2026-03-26 17:00:00,BhTo5PHbtcsuQwkh,112,0.0044
2026-03-26 17:00:00,VveaqT1OAcxlbXSv,2137,0.002866
2026-03-26 18:00:00,BhTo5PHbtcsuQwkh,78,0.004027
2026-03-26 18:00:00,VveaqT1OAcxlbXSv,2226,0.002548
2026-03-26 19:00:00,BhTo5PHbtcsuQwkh,70,0.007419
2026-03-26 19:00:00,VveaqT1OAcxlbXSv,2915,0.003065
2026-03-26 20:00:00,BhTo5PHbtcsuQwkh,82,0.004309
2026-03-26 20:00:00,VveaqT1OAcxlbXSv,2628,0.002803
2026-03-26 21:00:00,BhTo5PHbtcsuQwkh,154,0.00404
2026-03-26 21:00:00,VveaqT1OAcxlbXSv,3084,0.003506
2026-03-26 22:00:00,BhTo5PHbtcsuQwkh,193,0.005259
2026-03-26 22:00:00,VveaqT1OAcxlbXSv,3110,0.0032
2026-03-26 23:00:00,BhTo5PHbtcsuQwkh,259,0.003279
2026-03-26 23:00:00,VveaqT1OAcxlbXSv,3973,0.003821
2026-03-27 00:00:00,BhTo5PHbtcsuQwkh,224,0.004017
2026-03-27 00:00:00,VveaqT1OAcxlbXSv,3587,0.00399
2026-03-27 01:00:00,BhTo5PHbtcsuQwkh,249,0.003215
2026-03-27 01:00:00,VveaqT1OAcxlbXSv,2896,0.00353
2026-03-27 02:00:00,BhTo5PHbtcsuQwkh,263,0.004385
2026-03-27 02:00:00,VveaqT1OAcxlbXSv,3317,0.003095
2026-03-27 03:00:00,BhTo5PHbtcsuQwkh,347,0.004397
2026-03-27 03:00:00,VveaqT1OAcxlbXSv,2642,0.004389
2026-03-27 04:00:00,BhTo5PHbtcsuQwkh,263,0.003637
2026-03-27 04:00:00,VveaqT1OAcxlbXSv,1472,0.004195
2026-03-27 05:00:00,BhTo5PHbtcsuQwkh,320,0.003426
2026-03-27 05:00:00,VveaqT1OAcxlbXSv,1081,0.005038
2026-03-27 06:00:00,BhTo5PHbtcsuQwkh,336,0.003416
2026-03-27 06:00:00,VveaqT1OAcxlbXSv,739,0.005915
2026-03-27 07:00:00,BhTo5PHbtcsuQwkh,296,0.003884
2026-03-27 07:00:00,VveaqT1OAcxlbXSv,723,0.004075
2026-03-27 08:00:00,BhTo5PHbtcsuQwkh,354,0.003734
2026-03-27 08:00:00,VveaqT1OAcxlbXSv,479,0.006794
2026-03-27 09:00:00,BhTo5PHbtcsuQwkh,410,0.003717
2026-03-27 09:00:00,VveaqT1OAcxlbXSv,413,0.006116
2026-03-27 10:00:00,BhTo5PHbtcsuQwkh,352,0.003798
2026-03-27 10:00:00,VveaqT1OAcxlbXSv,772,0.005723
2026-03-27 11:00:00,BhTo5PHbtcsuQwkh,423,0.003557
2026-03-27 11:00:00,VveaqT1OAcxlbXSv,1087,0.005099
2026-03-27 12:00:00,BhTo5PHbtcsuQwkh,360,0.003918
2026-03-27 12:00:00,VveaqT1OAcxlbXSv,1425,0.005208
2026-03-27 13:00:00,BhTo5PHbtcsuQwkh,258,0.003058
2026-03-27 13:00:00,VveaqT1OAcxlbXSv,1479,0.003625
2026-03-27 14:00:00,VveaqT1OAcxlbXSv,1376,0.004057
2026-03-27 15:00:00,BhTo5PHbtcsuQwkh,319,0.004705
2026-03-27 15:00:00,VveaqT1OAcxlbXSv,1929,0.004139
2026-03-27 16:00:00,BhTo5PHbtcsuQwkh,164,0.004684
2026-03-27 16:00:00,VveaqT1OAcxlbXSv,2204,0.005234
2026-03-27 17:00:00,BhTo5PHbtcsuQwkh,120,0.004439
2026-03-27 17:00:00,VveaqT1OAcxlbXSv,2483,0.00369
2026-03-27 18:00:00,BhTo5PHbtcsuQwkh,108,0.006772
2026-03-27 18:00:00,VveaqT1OAcxlbXSv,2642,0.004537
2026-03-27 19:00:00,BhTo5PHbtcsuQwkh,76,0.006026
2026-03-27 19:00:00,VveaqT1OAcxlbXSv,2589,0.003728
2026-03-27 20:00:00,BhTo5PHbtcsuQwkh,98,0.027149
2026-03-27 20:00:00,VveaqT1OAcxlbXSv,1357,0.003519
2026-03-27 21:00:00,BhTo5PHbtcsuQwkh,193,0.006427
2026-03-27 21:00:00,VveaqT1OAcxlbXSv,448,0.004912
2026-03-27 22:00:00,BhTo5PHbtcsuQwkh,267,0.004103
2026-03-27 22:00:00,VveaqT1OAcxlbXSv,553,0.003413
2026-03-27 23:00:00,BhTo5PHbtcsuQwkh,343,0.002688
2026-03-27 23:00:00,VveaqT1OAcxlbXSv,645,9.1E-4
2026-03-28 00:00:00,BhTo5PHbtcsuQwkh,294,0.001768
2026-03-28 00:00:00,VveaqT1OAcxlbXSv,984,4.58E-4
2026-03-28 15:00:00,BhTo5PHbtcsuQwkh,610,6.3E-4
2026-03-28 15:00:00,VveaqT1OAcxlbXSv,2801,2.16E-4
2026-03-28 16:00:00,BhTo5PHbtcsuQwkh,416,8.0E-4
2026-03-28 16:00:00,VveaqT1OAcxlbXSv,3093,2.2E-4
2026-03-28 17:00:00,BhTo5PHbtcsuQwkh,271,7.82E-4
2026-03-28 17:00:00,VveaqT1OAcxlbXSv,2959,2.16E-4
2026-03-28 18:00:00,BhTo5PHbtcsuQwkh,217,0.001026
2026-03-28 18:00:00,VveaqT1OAcxlbXSv,2847,2.11E-4
2026-03-28 19:00:00,BhTo5PHbtcsuQwkh,155,7.93E-4
2026-03-28 19:00:00,VveaqT1OAcxlbXSv,3366,2.14E-4
2026-03-28 20:00:00,BhTo5PHbtcsuQwkh,189,7.54E-4
2026-03-28 20:00:00,VveaqT1OAcxlbXSv,3724,2.07E-4
2026-03-28 21:00:00,BhTo5PHbtcsuQwkh,352,5.4E-4
2026-03-28 21:00:00,VveaqT1OAcxlbXSv,5570,1.89E-4
2026-03-28 22:00:00,BhTo5PHbtcsuQwkh,413,4.26E-4
2026-03-28 22:00:00,VveaqT1OAcxlbXSv,7320,1.79E-4
2026-03-28 23:00:00,BhTo5PHbtcsuQwkh,827,0.001177
2026-03-28 23:00:00,VveaqT1OAcxlbXSv,6912,2.73E-4
